date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Sleep Tranquility Score,Sleep Latency Score,Sleep Timing Score,Total Bedtime,Total Sleep Time,Awake Time,REM Sleep Time,Light Sleep Time,Deep Sleep Time,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Recovery Time Score,Activity Burn,Total Burn,Target Calories,Steps,Daily Movement,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
3/22/20,88,87,93,97,83,77,91,100,32040,27240,4800,6090,14760,6390,36,85,1050,16140,,2020-03-21T21:21:06-07:00,2020-03-22T06:15:06-07:00,45.81,43,36,-0.14,14.75,56,100,100,1,1,39,100,223,2398,700,4104,3942,159,533,168,10,0,570,1.25,0,96,90,99,0,99,100,100,91,100
3/23/20,88,90,93,78,99,78,75,100,29700,27990,1710,6120,18090,3780,31,94,330,14910,,2020-03-22T21:19:16-07:00,2020-03-23T05:34:16-07:00,53.88,47,25,0.31,16.5,57,100,100,1,1,44,100,233,2367,600,4225,4301,60,487,92,26,2,773,1.25,0,87,90,99,93,99,78,86,88,39
3/24/20,85,77,78,97,95,77,89,100,27660,24900,2760,5160,13710,6030,36,90,1110,13710,,2020-03-23T21:30:52-07:00,2020-03-24T05:11:52-07:00,49.15,46,35,0.07,15.625,58,100,100,1,1,52,100,303,2462,600,5581,5756,127,472,120,27,1,693,1.28125,0,89,82,95,0,100,99,95,89,62
3/25/20,90,100,96,98,83,68,70,100,38520,32550,5970,6870,18210,7470,31,85,240,17940,,2020-03-24T21:09:37-07:00,2020-03-25T07:51:37-07:00,52.29,47,26,0.36,15.625,57,100,100,1,1,46,100,103,2218,600,2000,1892,118,598,78,3,0,643,1.15625,0,88,95,100,0,99,74,78,87,100
3/26/20,85,85,92,82,72,76,94,100,33240,26670,6570,6030,16710,3930,36,80,1020,17610,,2020-03-25T21:26:34-07:00,2020-03-26T06:40:34-07:00,51.96,47,26,0.11,15.875,57,100,100,1,1,50,100,136,2308,650,1965,2178,43,161,49,16,4,1167,1.25,0,91,82,100,0,100,96,78,84,100
3/27/20,,,,,,,,,,,,,,,,,,,,,,,,,,,57,100,100,1,1,44,100,60,2188,650,1061,1056,100,362,35,4,0,939,1.15625,0,,,,,,,,,
3/28/20,93,100,99,98,100,80,67,100,34260,32730,1530,8430,17340,6960,35,96,180,16830,,2020-03-27T21:55:47-07:00,2020-03-28T07:26:47-07:00,50.67,47,36,0.04,15.25,56,100,100,1,1,42,100,261,2459,650,4774,4554,265,605,219,11,1,339,1.28125,0,94,100,100,0,99,100,78,87,100
3/29/20,93,96,98,97,100,83,70,100,31440,30000,1440,8160,15450,6390,32,95,240,15540,,2020-03-28T21:19:24-07:00,2020-03-29T06:03:24-07:00,49.83,47,35,-0.04,15.75,57,100,100,1,1,45,100,261,2450,700,5222,4648,276,506,170,22,0,466,1.28125,0,95,100,100,93,100,100,86,88,100
3/30/20,88,83,90,96,98,75,94,100,28320,26310,2010,5940,15300,5070,32,93,1020,14400,,2020-03-29T21:15:26-07:00,2020-03-30T05:07:26-07:00,51.8,48,26,0.01,15.625,56,100,100,1,1,40,100,140,2280,650,2779,2488,61,487,116,6,0,770,1.1875,0,90,88,100,92,99,100,69,85,100
3/31/20,87,86,77,97,100,80,78,100,28380,26880,1500,5070,15630,6180,31,95,390,14100,,2020-03-30T21:07:39-07:00,2020-03-31T05:00:39-07:00,48.86,45,32,-0.14,15.375,55,100,100,1,1,32,100,133,2277,650,2753,2471,114,469,112,1,0,744,1.1875,0,93,86,100,0,100,100,88,86,100
4/1/20,93,95,96,96,93,75,97,100,32460,29010,3450,6900,16380,5730,34,89,810,16200,,2020-03-31T21:16:53-07:00,2020-04-01T06:17:53-07:00,52.28,46,28,-0.1,15.5,55,100,100,1,1,35,100,140,2258,600,2223,2541,91,527,63,15,0,744,1.1875,0,88,100,100,0,99,100,88,85,33
4/2/20,84,81,81,89,97,67,89,100,27960,25740,2220,5310,16200,4230,39,92,1110,14280,,2020-04-01T21:17:32-07:00,2020-04-02T05:03:32-07:00,52.46,48,28,0.19,15.75,57,100,100,1,1,44,100,331,2498,500,5930,6223,68,477,157,24,2,712,1.3125,0,83,78,96,0,99,89,79,82,47
4/3/20,89,88,96,96,97,72,86,100,30060,27510,2550,6720,15360,5430,33,92,1170,15390,,2020-04-02T20:48:50-07:00,2020-04-03T05:09:50-07:00,52.46,48,25,-0.04,15.75,59,100,100,1,1,57,100,293,2447,600,5363,5349,88,462,95,31,3,761,1.28125,0,85,90,95,0,99,100,70,76,75
4/4/20,91,97,92,96,95,61,97,100,33960,30420,3540,6030,19080,5310,39,90,810,16470,,2020-04-03T21:52:16-07:00,2020-04-04T07:18:16-07:00,53.11,47,28,0.01,15.375,58,100,100,1,1,53,100,148,2301,600,2819,2403,141,594,132,6,0,567,1.1875,0,87,95,97,0,99,100,71,75,80
4/5/20,91,94,97,96,97,69,91,100,31380,28830,2550,7140,16680,5010,36,92,1080,16110,,2020-04-04T21:38:45-07:00,2020-04-05T06:21:45-07:00,53.34,48,27,-0.09,15.625,59,100,100,1,1,60,100,322,2492,600,5437,5791,156,526,163,19,4,572,1.3125,0,87,95,98,93,100,100,80,73,60
4/6/20,78,80,49,77,98,70,75,100,27540,25590,1950,3270,18630,3690,34,93,1440,14040,,2020-04-05T21:32:26-07:00,2020-04-06T05:11:26-07:00,53.08,47,26,0.29,16.25,59,100,100,1,1,59,100,228,2380,500,4190,4196,101,488,126,14,1,710,1.25,0,78,62,94,90,98,80,80,70,38
4/7/20,86,83,74,95,100,83,81,100,27780,26340,1440,4920,16680,4740,31,95,480,13650,,2020-04-06T21:32:30-07:00,2020-04-07T05:15:30-07:00,52.23,47,28,0,16.25,58,100,100,1,1,56,100,246,2405,500,4587,4664,71,467,134,14,1,753,1.25,0,80,83,92,0,98,100,80,71,40
4/8/20,93,98,98,95,100,78,75,100,32100,31020,1080,7620,18420,4980,37,97,330,15960,,2020-04-07T21:21:55-07:00,2020-04-08T06:16:55-07:00,55.62,50,22,0.11,16.5,58,100,100,1,1,54,100,111,2218,500,1610,1804,93,544,37,14,2,750,1.15625,0,78,100,96,0,98,96,53,63,42
4/9/20,91,98,95,95,90,78,70,100,35520,31350,4170,6330,20280,4740,33,88,210,17340,,2020-04-08T21:00:08-07:00,2020-04-09T06:52:08-07:00,53.11,48,26,0.36,15.875,58,100,100,1,1,54,100,172,2323,500,3004,2717,191,569,107,14,3,556,1.21875,0,83,94,100,0,99,74,72,63,85
4/10/20,88,85,68,95,98,81,99,100,28500,26610,1890,4500,17430,4680,33,93,870,14400,,2020-04-09T21:07:04-07:00,2020-04-10T05:02:04-07:00,53.3,47,26,-0.13,15.875,69,82,100,25,40,73,100,670,3017,500,11712,11591,493,486,409,49,3,0,1.59375,0,84,87,97,91,100,100,90,63,44
4/11/20,93,100,99,95,97,64,97,100,36180,33240,2940,8580,20040,4620,35,92,930,18360,,2020-04-10T21:44:15-07:00,2020-04-11T07:47:15-07:00,55.43,50,24,-0.02,16.125,82,98,100,43,71,98,100,1165,3477,500,18554,19727,338,607,349,117,29,0,1.8125,0,82,99,100,68,81,100,63,59,85
